source_file,timestamp
swenable_cpuintensive_w6_2.json,2025-12-26T07:46:43.132497
swenable_cpuintensive_w14_3.json,2025-12-28T15:41:38.809281
swdisable_cpuintensive_4_3.json,2025-12-24T08:04:33.544481
swenable_mixed_w14_1.json,2026-01-03T20:39:38.679291
SWdisable_cpuintensive8.json,2025-12-11T21:09:12.067924
swdisable_memoryintensive_w12_2.json,2025-12-28T14:48:19.126758
SWdisable_cpuintensive.json,2025-11-25T02:51:08.514321
swdisable_mixed_w14_2.json,2026-01-03T20:54:20.213508
mlpdisable_memoryintensive2.json,2026-02-16T23:31:33.570202
dvfs_log_cpuintensive3.json,2025-08-08T08:19:56.133205
swdisable_memoryintensive_w10_1.json,2025-12-28T09:05:26.377404
swdisable_memoryintensive_w10_1.json,2025-12-28T09:05:31.136971
swenable_memoryintensive6.json,2025-12-11T15:34:07.259854
swdisable_memoryintensive_w10_1.json,2025-12-28T09:03:28.220205
swenable_cpuintensive_w10_2.json,2025-12-28T08:22:42.813763
SWenable_cpuintensive4.json,2025-12-11T07:03:20.405021
swdisable_cpuintensive_w10_3.json,2025-12-28T07:34:35.698508
SWdisable_memoryintensive3.json,2025-12-11T06:03:02.100890
swdisable_memoryintensive_w4_2.json,2025-12-25T08:52:52.229969
swdisable_memoryintensive_w14_3.json,2025-12-28T16:05:12.309108
mlpdisable_memoryintensive3.json,2026-02-16T23:48:39.622846
baseline_log_memoryintensive2.json,2025-08-05T19:26:20.886671
swenable_memoryintensive_w4_3.json,2025-12-25T09:10:15.506054
swdisable_cpuintensive_w10_2.json,2025-12-28T07:57:04.192344
swenable_cpuintensive_w12_2.json,2025-12-28T14:26:14.400825
swdisable_memoryintensive_w12_1.json,2025-12-28T13:17:57.854126
baseline_log_cpuintensive3.json,2025-08-08T08:28:24.127408
SWdisable_memoryintensive7.json,2025-12-11T20:58:06.877139
mlp.json,2025-11-22T10:14:30.095416
mlpenable_cpuintensive.json,2025-11-22T15:10:34.240123
swenable_cpuintensive7.json,2025-12-11T17:43:03.593731
swenable_cpuintensive_w14_3.json,2025-12-28T15:40:37.690542
SWdisable_cpuintensive7.json,2025-12-11T17:35:28.350601
swdisable_mixed_w6_1.json,2026-01-03T09:38:06.956365
swenable_memoryintensive5.json,2025-12-11T12:53:18.636013
swenable_cpuintensive_w6_1.json,2025-12-26T06:57:09.187905
mlp.json,2025-11-22T10:18:45.143268
swenable_memoryintensive_w4_1.json,2025-12-25T08:25:34.293161
swenable_memoryintensive_w4_2.json,2025-12-25T08:40:00.156683
dvfs_log_cpuIntensive.json,2025-07-31T23:56:02.586003
mlpdisable_mixed1.json,2026-02-16T23:33:42.482681
swenable_cpuintensive5.json,2025-12-11T11:38:41.270672
swdisable_cpuintensive_w14_1.json,2025-12-28T21:12:05.658340
mlpenable_memoryintensive3.json,2026-02-17T00:10:24.385412
